ID,Center Name,ServeLesbian,ServeGay,ServeBisexual,ServeTransgender,GeoCoverage,WebPresence,WebAddress,NGOStatus,InOperation,SiteType,OrgType,PhisicalSpace,SpaceType,Street Address,City,State,Zip,SHServices,HealthScreenings,CTServices,SupportServices,BlackSpecific,LatinoSpecific,APISpecific,MaleSpecific,FemaleSpecific,GenerationSpecific,Source,CommunityCenter,CommHealthCenter,,,,,,
105,Harriet Hancock LGBT Center,1,1,1,1,2,1,http://lgbtcentersc.org/,1,1,1,0,1,1,1108 Woodrow Street,Columbia,South Carolina,29205,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
106,Hawaii LGBT Legacy Foundation,1,1,1,1,1,1,http://hawaiilgbtlegacyfoundation.com/,1,1,0,0,0,0,9999,Honolulu,Hawaii,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
107,"Identity, Inc - Gay & Lesbian Community Center of Anchorage",1,1,1,1,2,1,http://www.identityinc.org/,1,1,1,0,1,1,336 East 5th Avenue,Anchorage,Alaska,99501,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
108,Jim Toy Community Center,1,1,1,1,2,1,http://jimtoycenter.org/,1,1,1,0,1,1,319 Braun Court,Ann Arbor,Michigan,48104,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
109,Kalamazoo Gay Lesbian Resource Center,1,1,1,1,2,1,http://www.kglrc.org/,1,1,1,0,1,1,629 Pioneer Street,Kalamazoo,Michigan,49008,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
110,Kaleidoscope Youth Center,1,1,1,1,2,1,http://www.kycohio.org/,1,1,1,0,1,1,1904 North High Street,Columbus,Ohio,43201,0,1,0,0,0,0,0,0,0,1,3,1,1,,,,,,
111,Access AIDS Care - The LGBT Center,1,1,1,1,2,1,http://accessaids.org/,0,1,2,0,1,1,247 West 25th Street,Norfolk,Virginia,23517,0,1,1,1,0,0,0,0,0,0,3,0,0,,,,,,
112,Access AIDS Care - Court One Office,0,0,0,0,2,1,http://accessaids.org/,0,1,2,0,1,1,248 West 24th Street,Norfolk,Virginia,23517,0,1,0,0,0,0,0,0,0,0,3,0,0,,,,,,
113,Access AIDS Care - Granby,0,0,0,0,2,1,http://accessaids.org/,0,1,2,0,1,1,3309 Granby Avenue,Norfolk,Virginia,23504,1,1,0,0,0,0,0,0,0,0,3,0,0,,,,,,
114,Access AIDS Care - Hampton,0,0,0,0,2,1,http://accessaids.org/,0,1,2,0,1,1,218 South Armistead Avenue,Hampton,Virginia,23669,1,1,0,0,0,0,0,0,0,0,3,0,0,,,,,,
115,LGBT Center of Raleigh,1,1,1,1,2,1,http://www.lgbtcenterofraleigh.com/,1,1,1,0,1,1,324 South Harrington Street,Raleigh,North Carolina,27603,0,1,0,1,0,0,0,0,0,0,3,1,1,,,,,,
116,LGBT Community Center of Central PA,1,1,1,1,2,1,http://www.centralpalgbtcenter.org/,1,1,1,0,1,1,1306 North 3rd Street,Harrisburg,Pennsylvania,17102,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
117,The NOW Organization,1,1,1,1,2,1,http://tlh991.wix.com/now#!,1,1,0,0,0,0,9999,Wilmington,North Carolina,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
118,LGBT Detroit,1,1,1,1,2,1,http://www.lgbtdetroit.org/,1,1,1,0,1,1,41 Burroughs Street,Detroit,Michigan,48202,1,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
119,LGBT Visitor Center,1,1,1,1,2,1,http://www.gogaymiami.com/,1,1,1,0,1,1,1130 Washington Avenue,Miami Beach,Florida,33139,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,100 community centers
120,LGBTQ Center of Warwick Valley,1,1,1,1,2,1,http://www.gaywarwick.com/,0,1,1,0,1,2,11 Hamilton Avenue,Warwick,New York,10990,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
121,Lower Columbia Q Center,9999,9999,9999,9999,9999,0,9999,0,9999,0,0,0,0,9999,Astoria,Oregon,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,0,,,,,,
122,Birmingham AIDS Outreach - Main Office,1,1,1,1,2,1,http://www.birminghamaidsoutreach.org/,1,1,2,0,1,1,205 32nd Street South,Birmingham,Alabama,35233,0,1,0,0,0,0,0,0,0,0,3,1,1,,,,,,
123,Birmingham AIDS Outreach - Magic City Acceptance Center,1,1,1,1,2,1,http://www.birminghamaidsoutreach.org/,1,1,2,0,1,1,412 37th Street South,Birmingham,Alabama,35222,1,0,1,0,0,0,0,0,0,0,3,1,1,,,,,,
124,Maine Pride Center Exploratory Committee,9999,9999,9999,9999,9999,0,9999,0,9999,0,0,0,0,9999,Portland,Maine,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,0,0,,,,,,
125,Metro Trans Umbrella Group,0,0,0,1,2,1,www.stlmetrotrans.com,1,1,1,0,1,1,438 North Skinker Boulevard,St. Louis,Missouri,63130,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
126,Motherlode Pride Center,1,1,1,1,2,1,http://www.motherlodepride.org/,0,1,1,0,1,2,10354 Argonaut Lane,Jackson,California,95642,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
127,Mississippi Gulf Coast Rainbow Center,1,1,1,1,2,1,http://gulfcoastrainbowcenter.org/,1,1,0,0,0,0,9999,Long Beach,Mississippi,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
128,New Haven Pride Center,1,1,1,1,2,1,http://www.newhavenpridecenter.org/,1,1,1,0,1,1,84 Orange Street,New Haven,Connecticut,06510,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
129,Newark LGBT Community Center,1,1,1,1,2,1,http://newarklgbtqcenter.org/,1,1,1,0,1,1,11 Halsey Street,Newark,New Jersey,07102,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
130,Nooga Diversity Center,1,1,1,1,2,1,http://noogadiversitycenter.org/,1,1,0,0,0,0,9999,Chattanooga,Tennessee,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
131,North Star LGBT Community Center,1,1,1,1,2,1,http://www.northstarlgbtcc.com/,1,1,1,0,1,1,930 Burke Street,Winston-Salem,North Carolina,27101,0,1,0,1,0,0,0,0,0,0,3,1,1,,,,,,
132,Ogden Youth Resource Center,1,1,1,1,2,1,http://www.outreachresourcecenters.org/,1,1,2,0,1,1,2760 Adams Avenue,Ogen,Utah,84403,0,0,0,1,0,0,0,0,0,1,3,1,1,,,,,,
133,Brigham Youth Resource Center,1,1,1,1,2,1,http://www.outreachresourcecenters.org/,1,1,2,0,1,1,435 East 700 South,Brigham City,Utah,84302,0,0,0,1,0,0,0,0,0,1,3,1,1,,,,,,
134,Clearfield Youth Resource Center,1,1,1,1,2,1,http://www.outreachresourcecenters.org/,1,1,2,0,1,1,782 East 700 South,Clearfield,Utah,84015,0,0,0,1,0,0,0,0,0,1,3,1,1,,,,,,
135,Cache Youth Resource Center,1,1,1,1,2,1,http://www.outreachresourcecenters.org/,1,1,2,0,1,1,596 East 900 North,Logan,Utah,84321,0,0,0,1,0,0,0,0,0,1,3,1,1,,,,,,
136,One-n-Ten,1,1,1,1,2,1,http://onenten.org/,1,1,1,0,1,1,2660 North 3rd Street,Phoenix,Arizona,85012,0,0,0,0,0,0,0,0,0,1,3,1,0,,,,,,
137,ONE Treasure Coast,1,1,1,1,2,1,http://www.prideofthetreasurecoast.org/one/,0,1,0,0,0,0,9999,Port St. Lucie,Florida,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
138,Out Boulder,1,1,1,1,2,1,http://www.outboulder.org/,1,1,1,0,1,1,2132 14th Street ,Boulder,Colorado,80302,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
139,OutCentral,1,1,1,1,2,1,http://www.outcentral.org/,1,1,1,0,1,1,1709 Church Street,Nashville,Tennessee,37203,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
140,OutLinc,1,1,1,1,2,1,http://outlinc.org/,1,1,0,0,0,0,9999,Lincoln,Nebraska,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
141,Outreach LGBT Community Center,1,1,1,1,2,1,http://www.lgbtoutreach.org/,1,1,1,0,1,1,600 Williamson Street,Madison,Wisconsin,53703,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
142,Outright Youth of Catawba,1,1,1,1,2,1,http://www.outrightyouthcv.org/joomla/,1,1,0,0,0,0,9999,Hickory,North Carolina,9999,1,0,0,0,0,0,0,0,0,1,3,0,1,,,,,,
143,Pasadena Pride Center,1,1,1,1,2,1,http://www.pridepasadena.org/,1,1,1,0,1,1,1443 East Washington Boulevard,Pasadena,California,91104,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
144,The Phoenix Center,1,1,1,1,2,1,http://www.phoenixcenterspringfield.org/,1,1,1,0,1,1,109 East Lawrence Avenue,Springfield,Illinois,62704,0,1,0,0,0,0,0,0,0,0,3,1,1,,,,,,
145,Phoenix Pride LGBT Center,1,1,1,1,2,1,http://phoenixpridelgbtcenter.org/,1,1,1,0,1,1,801 North 2nd Avenue,Phoenix,Arizona,85003,0,1,0,0,0,0,0,0,0,0,3,1,1,,,,,,
146,Pride Center of the Blue Ridge,1,1,1,1,2,1,http://blueridgepride.org/,1,1,0,0,0,0,9999,Ashville,North Carolina,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
147,Pride Center San Antonio,1,1,1,1,2,1,http://pridecentersa.org/,1,1,1,0,1,1,147 East Mistletoe Avenue,San Antonio,Texas,78212,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
148,Pridelines,1,1,1,1,2,1,http://www.pridelines.org/,1,1,1,0,1,1,9526 Northeast 2 Avenue,Miami Shores,Florida,33138,0,1,0,1,0,0,0,0,0,1,3,1,1,,,,,,
149,Prism Youth Initiative,1,1,1,1,2,1,http://www.prismyouth.org/,1,1,1,0,1,1,501 5th Street East,Bradenton,Florida,34208,1,0,1,0,0,0,0,0,0,1,3,1,1,,,,,,
150,Q Spot,1,1,1,1,2,1,http://qspot.org/,1,1,1,0,1,1,66 South Main Street,Ocean Grove,New Jersey,07756,0,0,1,1,0,0,0,0,0,0,3,1,1,,,,,,
151,Queens Pride House,1,1,1,1,2,1,http://www.queenspridehouse.org/wordpress/,1,1,2,0,1,1,76-11 37th Avenue,Jackson Heights,New York,11372,0,1,0,1,0,0,0,0,0,0,3,1,1,,,,,,100 CHCs
152,"HAF, Inc",1,1,1,1,2,1,hafnyc.org,1,1,2,0,1,1,1767 Park Avenue,New York,New York,10035,1,1,1,1,0,1,0,0,0,0,3,1,1,,,,,,
153,Latino Pride House,1,1,1,1,2,1,hafnyc.org,1,1,2,0,1,1,975 Kelly Street,Bronx,New York,11459,1,1,1,1,0,1,0,0,0,0,3,1,1,,,,,,
154,"Forge, Inc",0,0,0,1,0,1,https://forge-forward.org/,1,1,2,0,0,0,9999,9999,9999,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
155,RAD Remedy,1,1,1,1,0,1,https://radremedy.org/,1,1,2,0,0,0,9999,Chicago,Illinois,9999,1,0,0,0,0,0,0,0,0,0,3,0,1,,,,,,
156,Rainbow Community Center of Contra Costa County,1,1,1,1,2,1,http://www.rainbowcc.org/,1,1,1,0,1,1,2118 Willow Pass Road,Concord,California,94520,1,1,1,1,0,0,0,0,0,0,3,1,1,,,,,,
157,Roanake Diversity Center,1,1,1,1,2,1,http://www.roanokediversitycenter.com/,1,1,1,0,1,1,806 Jamison Avenue Southeast,Roanake,Virginia,24013,1,0,1,1,0,0,0,0,0,0,3,1,1,,,,,,
158,"VCS, Inc. - Rockland County Pride",1,1,1,1,2,1,http://www.gaypriderockland.org/,1,1,1,1,1,1,77 South Main Street,New City,New York,10956,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
159,ROSMY,1,1,1,1,2,1,http://rosmy.org/,1,1,1,0,1,1,2311 Westwood Avenue,Richmond,Virginia,23230,0,0,0,1,0,0,0,0,0,1,3,1,1,,,,,,
160,Sacramento Gay & Lesbian Center,1,1,1,1,2,1,http://saccenter.org/,1,1,1,0,1,1,1927 L Street,Sacramento,California,95811,0,1,0,1,0,0,0,0,0,0,3,1,1,,,,,,
161,San Francisco LGBT Community Center,1,1,1,1,2,1,http://www.sfcenter.org/,1,1,1,0,1,1,1800 Market Street,San Francisco,California,94102,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
162,"Spectrum Center for Lesbian, Gay, Bisexual, & Transgender Concerns/Spahr Center",1,1,1,1,2,1,http://www.spectrumlgbtcenter.org/,1,1,1,1,1,1,910 Irwin Street,San Rafael,California,94901,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
163,"Stonewall Columbus, Inc. aka Stonewall Columbus Center on High",1,1,1,1,2,1,http://www.stonewallcolumbus.org/,1,1,1,0,1,1,1160 North High Street,Columbus,Ohio,43201,0,1,1,1,0,0,0,0,0,0,3,1,1,,,,,,
164,The Center of Wichita,1,1,1,1,2,1,http://www.thecenterofwichita.org/,1,1,1,0,1,2,800 North Market,Wichita,Kansas,67214,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
165,"The Center Project, Inc.",1,1,1,1,2,1,http://thecenterproject.org/,1,1,1,0,1,1,300 St. James Street,Columbia,Missouri,65201,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
166,The DC Center for the LGBT Community,1,1,1,1,2,1,http://www.thedccenter.org/,1,1,1,0,1,1,2000 14th Street Northwest,Washington,District of Columbia,20009,1,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
167,The Gay and Lesbian Center of the Ozarks,1,1,1,1,2,1,http://glocenter.org/,1,1,1,0,1,1,518 East Commercial Street,Springfield,Missouri,65801,1,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
168,"The Lesbian, Gay, Bisexual, Transgender Community Center of Greater Cleveland",1,1,1,1,2,1,http://www.lgbtcleveland.org/,1,1,1,0,1,1,6600 Detroit Avenue,Cleveland,Ohio,44102,0,1,1,1,0,0,0,0,0,0,3,1,1,,,,,,
169,The LGBT Community Center of the Desert,1,1,1,1,2,1,http://thecenterps.org/,1,1,1,0,1,1,611 South Palm Canyon Drive,Palm Springs,California,92264,0,1,1,1,0,0,0,0,0,0,3,1,1,,,,,,
170,The LOFT: LGBT Community Services Center,1,1,1,1,2,1,http://loftgaycenter.org/,1,1,1,0,1,1,252 Bryant Avenue,White Planes,New York,10605,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
171,The Network,1,1,1,1,2,1,http://www.grlgbt.org/,1,1,1,0,1,1,343 Atlas Avenue Southeast,Grand Rapids,Michigan,49506,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
172,the OUTreach Center,1,1,1,1,2,1,http://www.outreachcenterav.org/,1,1,1,0,1,1,44845 Cedar Avenue,Lancaster,California,93534,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
173,The Persad Center - Pittsburgh,1,1,1,1,2,1,https://persadcenter.org/,1,1,2,0,1,1,5301 Butler Street,Pittsburgh,Pennsylvania,15201,1,1,1,1,0,0,0,0,0,0,3,1,1,,,,,,
174,The Persad Center - Erie,1,1,1,1,2,1,https://persadcenter.org/,1,1,2,0,1,2,1011 West 38th Street,Erie,Pennsylvania,16508,1,1,1,1,0,0,0,0,0,0,3,1,1,,,,,,
175,The Persad Center - Washington,1,1,1,1,2,1,https://persadcenter.org/,1,1,2,0,1,2,100 East Wheeling Street,Washington,Pennsylvania,15301,1,1,1,1,0,0,0,0,0,0,3,1,1,,,,,,
176,The Phillip Rush Center,1,1,1,1,2,1,http://www.rushcenteratl.org/,1,1,1,0,1,1,1530 DeKalb Avenue Northeast,Atlanta,Georgia,30307,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
177,"The Pride Center of New Jersey, Inc.",1,1,1,1,1,1,http://www.pridecenter.org/,1,1,1,0,1,1,85 Raritan Avenue,Highland Park,New Jersey,08904,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
178,"The South Bay Lesbian, Gay, Bisexual, & Transgender Community Organization",1,1,1,1,2,1,http://www.southbaycenter.org/,1,1,1,0,1,1,16610 Crenshaw Boulevard,Torrance,California,90504,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
179,The Spectrum Center,1,1,1,1,2,1,http://www.hattiesburgpride.com/,1,1,1,0,1,1,210 South 25th Avenue,Hattiesburg,Mississippi,39401,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
180,The UP (Uniting Pride) Center of Champaign County,1,1,1,1,2,1,http://www.unitingpride.org/,1,1,1,0,1,1,44 East Main Street,Champaign,Illinois,61820,1,1,0,0,0,0,0,0,0,0,3,1,1,,,,,,
181,Transgender Michigan,0,0,0,1,1,1,http://www.transgendermichigan.org/,1,1,1,0,1,1,23211 Woodward Avenue,Ferndale,Michigan,48220,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
182,Triangle Community Center,1,1,1,1,2,1,http://www.ctgay.org/,1,1,1,0,1,1,618 West Avenue,Norwalk,Connecticut,06850,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
183,Tyler Area Gays: Project TAG,1,1,1,1,2,1,https://www.tylerareagays.com/,1,1,0,0,0,0,9999,Tyler,Texas,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
184,Visuality Youth Community Center,1,1,1,1,2,1,http://www.visualityflorida.com/,0,1,1,0,1,1,8359 Beacon Manor Boulevard,Fort Myers,Florida,33907,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
185,"Washington County Gay Straight Alliance, Inc.",1,1,1,1,2,1,http://www.wcgsa.org/,1,1,1,0,1,1,390 Sanitarium Road,Washington,Pennsylvania,15301,0,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,
186,Western Montana Gay & Lesbian Community Center,1,1,1,1,2,1,http://www.gaymontana.org/,1,1,1,0,1,1,127 Higgins Avenue,Missoula,Montana,59802,0,0,0,1,0,0,0,0,0,0,3,1,1,,,,,,
187,Westchester Jewish Community Services - Center Lane,1,1,1,1,2,1,http://www.centerlaneny.org/,1,1,1,1,1,1,20 South Broadway,Yonkers,New York,10701,0,0,1,1,0,0,0,0,0,0,3,1,1,,,,,,
188,"Youth OUTright WNC, Inc.",1,1,1,1,2,1,http://youthoutright.org/,1,1,0,0,0,0,9999,Ashville,North Carolina,9999,0,0,0,0,0,0,0,0,0,1,3,0,0,,,,,,
189,"Youth Pride, Inc.",1,1,1,1,2,1,http://www.youthprideri.org/,1,1,1,0,1,1,743 Westminster Street,Providence,Rhode Island,02903,0,0,1,1,0,0,0,0,0,1,3,1,1,,,,,,
190,The Lesbian & Gay Community Center of Charlotte,1,1,1,1,2,1,http://www.lgbtcharlotte.org/,0,0,0,0,0,0,9999,Charlotte,North Carolina,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
191,"The Lesbian, Gay, Bisexual, Transgender, and Questioning (LGBTQ) Community Center of the Bronx, Inc.",1,1,1,1,2,1,http://blog.bronxlgbtqcenter.org/,1,0,0,0,0,0,9999,Bronx,New York,9999,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,
192,One the Move - The LGBTQ Connection,1,1,1,1,2,1,http://www.lgbtqconnection.org/,1,1,1,1,1,1,780 Lincoln Avenue,Napa,California,94558,0,0,0,0,0,0,0,0,0,1,4,1,0,,,,,,
193,Gay Central Valley - Merced LGBT Community Centter,1,1,1,1,2,1,http://mercedlgbtcenter.org/,1,1,2,0,1,1,1744 G Street,Merced,California,95340,0,0,0,0,0,0,0,0,0,0,4,1,0,,,,,,
194,Gay Central Valley - Fresno LGBT Community Center,1,1,1,1,2,1,http://www.fresnolgbtcenter.org/,1,1,2,0,1,Private,1067 North Fulton Avenue,Fresno,California,93728,0,0,0,1,0,0,0,0,0,0,4,1,1,,,,,,
195,Gay & Lesbian Center Bakersfield,1,1,1,1,2,1,http://www.glcenterbak.org/,1,1,1,0,1,1,902 18th Street,Bakersfield,California,93301,0,0,0,0,0,0,0,0,0,0,4,1,0,,,,,,
196,Joplin LGBTQ Pride Center,1,1,1,1,2,1,http://www.joplingaylesbiancenter.com/,0,0,0,1,0,0,9999,Joplin,Missouri,9999,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,
197,The LGBT Community Center of St. Louis,1,1,1,1,2,1,http://www.lgbtcenterstl.org/,1,1,0,0,0,0,9999,St. Louis,Missouri,9999,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,
198,Community Alliance and Action Network,1,1,1,1,2,1,http://www.caanmidwest.org/,1,1,0,0,0,0,9999,Joliet,Illinois,9999,0,0,0,1,0,0,0,0,0,0,4,0,0,,,,,,
199,Quad Citizans Affirming Diversity,1,1,1,1,2,1,http://www.qcadoutforgood.org/,1,1,1,0,1,1,208 18th Street,Rock Island,Illinois,61201,0,0,0,1,0,0,0,0,0,0,4,1,1,,,,,,
200,The Living Room,1,1,1,1,2,1,http://www.thelivingroomyouth.org/,0,1,1,0,1,1,710 6th Street,Oregon City,Oregon,97054,0,0,0,0,0,0,0,0,0,1,4,0,0,,,,,,
201,Pride for Youth,1,1,1,1,2,1,http://www.longislandcrisiscenter.org/pfy/index.html,1,1,1,1,1,1,2050 Bellmore Avenue,Bellmore,New York,11710,1,1,1,1,0,0,0,0,0,1,4,1,1,,,,,,
202,Delta Foundation of Pittsburgh,1,1,1,1,2,1,http://www.deltafoundation.us/,1,1,1,0,1,1,911 Galveston Avenue,Pittsburgh,Pennsylvania,15233,0,0,0,0,0,0,0,0,0,0,4,1,0,,,,,,
203,Northeastern Pennsylvania Rainbow Alliance/LGBT Center of Northeastern Pennsylvania,1,1,1,1,2,1,http://www.gaynepa.com/,1,1,0,0,0,0,9999,Pittston,Pennsylvania,9999,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,
204,LGBT Center of SE Wisconsin,1,1,1,1,2,1,http://www.lgbtsewisc.org/,1,1,1,0,1,1,1456 Junction Avenue,Racine,Wisconsin,53403,0,0,0,0,0,0,0,0,0,0,4,1,0,,,,,,
205,Chippewa Valley LGBT,1,1,1,1,2,1,http://www.cvlgbt.info/,1,1,0,0,0,0,9999,Eau Claire,Wisconsin,9999,0,0,0,0,0,0,0,0,0,0,4,0,0,,,,,,
206,Diversity Richmond - Gay Community Center of Richmond,1,1,1,1,2,1,http://diversityrichmond.org/,1,1,1,0,1,1,1407 Sherwood Avenue,Richmond,Virginia,23220,0,0,0,0,0,0,0,0,0,0,4,1,0,,,,,,
207,7 Rivers LGBT Resource Center,1,1,1,1,2,1,http://7riverslgbtq.org/,1,1,1,0,1,1,230 Sixth Street South,La Crosse,Wisconsin,54601,0,0,0,0,0,0,0,0,0,0,4,1,0,,,,,,
208,7 Rivers LGBT Resource Center,1,1,1,1,2,1,http://7riverslgbtq.org/,1,1,1,0,1,2,77 East 5th Street,Winona,Wisconsin,55987,0,0,0,0,0,0,0,0,0,0,4,1,0,,,,,,
209,Village Vida Centre / Gay Inside Out,1,1,1,1,2,1,http://www.gaysilver.org/,0,0,0,0,0,0,9999,Bellingham,Washington,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,0,,,,,,
210,Rainbow Village,1,1,1,1,2,1,http://www.gayinsideout.org/,0,0,0,0,0,0,9999,Silver City,New Mexico,09999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,4,0,0,,,,,,
211,Our Space,1,1,1,1,2,1,http://www.baycyouth.org/,1,1,1,1,1,2,22245 Main Street,Hayward,California,94541,0,0,1,0,0,0,0,0,0,1,5,1,1,,,,,,
212,Pacific Pride Foundation - Santa Barbara,1,1,1,1,2,1,http://www.pacificpridefoundation.org/,1,1,2,0,1,1,126 East Haley Street,Santa Barbara,California,93101,1,1,1,1,0,0,0,0,0,0,5,1,1,,,,,,
